,fid,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,tri1k_mean,tri1k_stde,tri1k_max,vrm1k_mean,vrm1k_stde,vrm1k_max,tpi1k_mean,tpi1k_stde,tpi1k_max,slp1k_mean,slp1k_stde,slp1k_max,rou1k_mean,rou1k_stde,rou1k_max,ele1k_mean,ele1k_stde,ele1k_max
0,1,01001,01,001,Aguascalientes,8.012407780013413,7.236054698392269,61.8203125,0.000579795834501,0.001498493372385,0.019036648795009,0.045984238765929,1.903353519246717,15.234375,2.10982152014611,1.861930260812443,15.384785652160645,24.82641683433937,22.11438825344416,180.125,1927.0591465459422,76.08253984018296,2277.625
1,2,01002,01,002,Asientos,6.843952338129497,7.781220698464036,68.359375,0.000544674491701,0.001774282303143,0.021061293780804,-0.027877697841727,1.82374176934324,18.328125,1.859300452449339,1.957695846476338,17.147844314575195,21.57230215827338,23.585006438262276,210.1875,2065.5625899280576,77.05797421749746,2454.875
2,3,01003,01,003,Calvillo,27.839680573316283,14.527695824137595,74.015625,0.004446896452797,0.00426843653845,0.027677373960614,0.121663203324808,5.371326751649518,20.3203125,7.220886396071084,3.977958468813619,21.092323303222656,86.34297740835464,45.621859639745324,244.75,2025.7641197783462,268.65920407316133,2783.25
3,4,01004,01,004,Cosío,9.335274621212122,11.35937244064349,47.1015625,0.001126829552839,0.001912120044913,0.00816191919148,-0.024100378787879,2.407091273339341,14.046875,2.395263434901382,2.832820602967522,12.934989929199219,28.537121212121214,34.104942557701165,154.0,2025.7446969696969,94.11052154482238,2266.1875
4,5,01005,01,005,Jesús María,16.70188042192429,13.479236653881099,68.296875,0.002263719017401,0.003126643387131,0.018863089382648,-0.069856565457413,3.65398722676889,28.9140625,4.330127013947122,3.494276246614191,19.280431747436523,51.55431782334385,40.8599501560231,220.9375,2031.4281348580441,124.84116917104411,2543.625
5,6,01006,01,006,Pabellón de Arteaga,8.428819444444445,9.67465387960564,43.328125,0.000892448578231,0.001835078188068,0.01031288318336,-0.053690843621399,2.141966032333984,9.5078125,2.211160599817465,2.384996308316674,11.007367134094238,25.895576131687243,28.58334617350909,125.75,1970.2705761316872,101.80422931770856,2276.125
6,7,01007,01,007,Rincón de Romos,11.04015724522293,10.640082148501238,49.6171875,0.00125811125911,0.002063936441469,0.015479944646358,-0.016238720806794,2.664682304238986,12.0703125,2.789902269207495,2.631381218746407,13.686872482299805,33.386146496815286,31.351429477254875,146.5,2065.704485138004,140.9592612405164,2420.875
7,8,01008,01,008,San José de Gracia,24.860453324954296,12.512485949217822,73.8125,0.004217268372612,0.003879328457888,0.023953778669238,0.058008169561243,5.069328056200932,19.7421875,6.108351087139773,3.104937102238306,17.314701080322266,74.38088436928702,36.73689790367608,212.5,2356.22292047532,212.2194831978185,2933.375
8,9,01009,01,009,Tepezalá,8.69445025083612,9.327303935973562,57.1328125,0.000744037338534,0.00183794987261,0.016165563836694,0.007734113712375,2.734828071409966,20.8359375,2.341016739307837,2.370605150636592,14.276189804077148,27.06479933110368,28.93430649290939,172.375,2036.1757943143812,107.93686301379086,2391.875
9,10,01010,01,010,El Llano,5.271548763736264,8.053649753359753,61.8828125,0.000451574978808,0.001507168377157,0.014190755784512,0.024516777864992,2.028379201775255,15.3671875,1.446409390780203,2.154202903104706,17.287887573242188,16.7210557299843,25.07669779038471,194.6875,2054.380396389325,92.33117078313636,2429.3125
